composition,output
Rb2 Ba1 Nb2 Se11,1.53
Zr1 Ta1 N3,1.72
Ba3 In2 P4 O16,3.87
In0.2 Ga0.8 As0.8 P0.2,1.58
Rb1 Ta3 Te2 O12,3.88
Ga1 Te1,1.8
Zn1 O1,3.51
Ag2 Sn1 S3,1.43
Sn1 Se1,1.3
Ba2 Er1 Ga1 Te5,1.15
Na3 Mo1 Cl1 O4,4.69
K2 Sn2 Hg3 S8,2.5
Cd1 Sb1,0.57
Ge1 Se1,1.22
Hf1 S3,2.85
Ga0.9 Hg0.1 Sb0.9 Te0.1,0.65
In1 Sb2 S4 Cl1,1.8
Ga1 S1,2.59
Pt1 S1,0.8
Ag1 S1,0.9
Cs2 P2 Se8,2.44
Y4 Ga1 Sb1 S9,2.06
Zn0.55 Ga0.45 P0.45 S0.55,2.3
Zn0.95 Ga0.05 P0.05 S0.95,2.7
Mg2 Sn1,0.32
Ga1.002 Sb0.998 Te0.006,0.7
Cs1 F1,10.0
K1 Sb1 Se2,1.14
Ag3 As1 Se3,1.98
As2 Se3,1.84
Li1 Ga1 Se2,3.13
Nb1 Se2,1.4
Cs1 Rb2 Sb1,1.5
Os1 S2,2.0
Ge1 S1,1.8
As2 Ru1,0.8
In1 Sb0.99 As0.01,0.35
Ga1.1 Sb0.9 Se0.3,0.67
Sm2 S3,2.96
Si1 P1,2.0
Yb1 B66,1.27
Sn0.1 Pb0.9 Se1,0.08
Ti1 Tl1 P1 S5,1.3
Cs1 Yb1 Mn1 Se3,1.6
K10 Fe4 Sn4 S17,2.2
Ge0.05 Te0.95 Pb0.95 S0.05,0.4
Ba1 Se1,3.58
K4 In4 P6 Se20,2.2
Sn0.06 Te1 Pb0.94,0.28
Bi2 Te0.45 Se2.55,0.2
K1 Nb3 Te2 O12,3.52
Cd4 P2 I3,2.17
Cr2 S3,0.9
In1 Se1,1.32
Sr0.5 Ta1 O3,3.7
Tb4 Ga1 Sb1 S9,2.44
Na3 Sb1,1.1
B12 P2,3.3
Dy2 Te3,0.69
Ti1 Tl1 S2,1.0
Bi2 S3,1.25
Ba2 Y1 Ga1 Te5,1.08
Sn0.01 Pb0.99 Se1,0.31
Tl2 In1 Ga1 Se4,2.05
Na1 La1 S3,2.61
Cs1 Ge5 B1 O12,4.89
Tl2.35 Sb8.65 Se14,0.6
Sn1 Se0.2 S0.8,1.03
Hg3 P1 S4,2.03
Zn2 In2 S5,2.95
Cs2 Zn1 Ge3 Te8,1.07
Eu1 Sb4 S7,0.98
Pb1 Se1,0.17
Na0.75 Eu1.625 Ge1 Se4,2.0
Pb1 I2,2.36
Zn1 Hg3 Se2 Cl4,2.23
Eu1 Bi1 W2 O9,3.63
Cs1 Sb1,0.8
Hg2 I2,2.37
Rb3 Cd1 B5 O10,2.34
Cd0.5 Hg0.5 Se1,0.8
Tl1 In1 Se2,1.44
Ta1 Ga1 Se2,2.17
Ir0.67 Se2,0.45
Bi2 Se3,0.4
La2 Ge2 Se7,1.08
Ge1 Bi12 O20,3.25
Ca1 Sn1 O3,4.4
Ba2 Sb7 H1 O14,2.7
Ga1 S1,2.7
Sr3 Eu1 P3 O12,3.99
Zn0.15 Cd0.85 Se1,2.5
Cu1 Cl1,3.2
Cs1 Lu1 Co1 S3,1.5
Bi1 S1 Br1,1.92
Co1 P2,0.35
Na1 Br1,7.03
Mn0.05 Te1 Pb0.95,0.37
Tl1 Br1,2.64
Ba6 Ga2 Sn1 Se11,1.99
La4 Cd4 In2 S13,2.27
Cs1 Ag2 As1 S3,2.7
Hg1 Se1,0.6
Mn1 O2,1.3
Sb1 S1 I1,1.97
Cu1 Sb1 Se2,1.05
Ce2 Sn3 Se9,0.3
Cd0.3 Hg0.7 Te1,0.27
Ru1 Se2,1.0
Na2 Hg3 Ge2 S8,2.68
Zr1 Hg4 P2 Cl6,3.22
Cs3 Bi1,0.55
Rb1 Cd4 Ga5 S12,3.02
Ga1 Sb1,0.82
Cs4 Cu3 Bi9 S17,0.9
Te1 Se1,1.58
La1.86 Tb1.14 Ga1.67 S7,2.67
Zn1 Se1,2.79
Sr1 Pb1 O3,1.78
Na7 Co2 O6,0.5
Al0.01 In0.99 P1,1.3
Pb1 Se0.99 S0.01,0.26
Bi2 Te2 Se1,0.3
Nb1 Cu3 Se4,2.45
Ba4 Li1 Ga5 Se12,2.65
Ga1 Se1,2.0
Ag3 Sb1 S3,2.08
Al0.6 Ga0.4 P1,2.4
Tl2 Se1,0.37
Rb1 In1 Te3 O8,3.9
K2 Rb1 Sb1,1.2
Ga2 Te3,1.45
Cd1 In2 Te4,1.28
Pb1 O2,1.45
Fe1 Ag1 Te2,0.3
Tl1 Cl1,3.56
Zn1 Se1,2.82
Li2 Te1 W1 O6,4.0
Nd2 Se3,1.75
Sb1 Se1 I1,1.91
K3 B6 Cl1 O10,6.89
Zr1 Se3,1.5
Rb5 B1 S4 O16,3.99
K1 Th1 Cu1 S3,2.95
In1 Sb0.3 As0.7,0.11
Cu3 As1 S4,1.24
Pr2 Te3,1.3
Eu3 Sb4 S9,1.2
Ba2 V2 Te2 O11,3.16
Na2 In2 Ge1 S6,3.17
Al1 Sb1,1.5
In2 Hg1 Se4,0.6
V3 Cd4 Te3 O15,2.66
Al1 Ag1 S2,3.13
Rb2 Cu2 Sn1 S4,2.08
Tl1 Br1,3.01
Ta1 Tl1 S3,0.78
Ga1 Cu1 Te2,1.0
Ga1.65 Cu0.35 S2.65,2.57
Cd1 Bi1 Cl1 O2,3.08
Ga2 S3,2.85
Si30 Te8 P16,1.24
Ga1.01 Sb0.99 Se0.03,0.62
Eu1 Ho2 Se4,1.8
Hg1 Se1,0.1
Te3 As2,1.72
Ga1 N1,3.4
Cu1 Cl1,3.28
Zn0.5 Hg0.5 Se1,0.75
Mg3 Sb2,0.82
Ge1 Se1,1.28
Ta1 Ga1 S2,2.46
Sn0.99 Te1 Pb0.01,0.26
Sn0.2 Pb0.8 Se1,0.08
Sm1 Te1,0.32
Ce2 Ge1 Se5,1.7
Rb1 Bi1 Se2,0.9
Ga1 Sb0.95 As0.05,1.28
Cr1 Sb2,0.16
La2 Ge1 Se5,1.24
Sc1 Tl1 Te2,0.85
Ga1 S1,2.58
Cd1 Sb1,0.45
Sr2 Ti1 O4,3.41
Nb2 O5,3.08
In6 S7,0.7
Hf1 Hg4 P2 Cl6,3.26
Pb1 Se1,0.27
Dy1 N1,2.6
Cs1 In1 Te3 O8,3.9
Ta11 Cu5 O30,2.58
Li1 B3 O5,7.75
La1 F3,6.6
Al1 N1,5.9
Zn2 In2 S5,2.5
K2 Sb8 Se3,1.31
Ca1 S1,6.0
Cd1 Si1 As2,1.5
P2 Ir1,1.0
Ba3 Bi2 Te1 O9,2.3
Te3 As2,1.63
Na1 N1 O2,3.02
Cs3 As1,0.6
In1 Cu1 S2,1.5
Sn1 S2,2.43
Sb1 I3,2.5
Rb1 I1,6.26
Pb1 Se0.5 S0.5,0.33
Mn2 P2 Se6,2.5
Na2 Cd1 Ge2 Se6,2.37
K1 Ag2 P1 S4,3.02
Ga1.5 Cu0.5 S2.5,2.46
P2 Se5,2.2
Ba1 Na2 Sn1 S4,3.27
Ga5 Ge1 Pb4 S12,2.35
Cs1 Ag5 Te3,0.65
Ga1 Sb1,0.78
Tl1 Br1,2.63
Cd1 S1,2.58
Tl1 Te1 P1,0.3
Ge0.06 Te0.06 Pb0.94 Se0.94,0.28
Bi1 I3,1.8
Ba1 Zn1 Ge1 Se4,2.46
Si1 P2,1.89
Bi4 Pb7 Se13,0.29
Sr2 La2.58 Bi5.42 S14,1.0
Yb1 Sn1 Te2,0.75
Ba1 Pr1 O3,2.0
Ca1 S1,5.38
As2 S3,1.89
Dy2 O3,5.0
Ga1 Ag1 Ge5 Se12,2.14
La1 Be1 B3 O7,5.65
Ba2 Sm1 Ga1 Te5,1.04
Zn0.7 Ga0.3 P0.3 S0.7,2.4
Na2 Eu1 Ge1 Se4,2.0
Al1 Sb1,1.63
Rb5 Li6 B11 O22,6.53
K9 Bi13 S24,1.4
Mn1 O1,3.6
K1 Ba1 B5 O9,3.65
Fe1 I2,5.15
Cd1 S1,2.53
La3 Lu1 Se6,1.26
Pr1 F3,5.9
Nd1 In3 S6,1.15
Ag1 S1,1.2
Na1 Sb1 Se2,1.6
Mg2 Sn1,0.33
Nd1 Mo1 O4 F1,3.66
Cd1 Sb1,0.56
Ge3 Ru2,0.34
Zn1 As1,0.9
Y1 V1 Bi2 O8,2.09
Li1 Ta1 O3,4.1
Cs1 Yb1 Co1 Se3,0.95
K2 Sn2 Hg3 S8,2.4
Pb1 Se1,0.18
Ho2 Hf1 S5,1.0
Fe1 Si2,0.9
Rb1 In1 Sn1 S4,2.7
Ba2 Nd1 Ga1 S5,2.12
Zn0.01 Ga0.99 P0.99 Se0.01,2.24
Li1 Eu1 H3,1.5
In1 Ag1 Se2,1.04
Ga5 Ge1 Pb4 Se12,1.91
Ba2 Ta1 In1 O6,4.17
Ca6 Bi6 O15,3.34
Rb1 Cd4 Ga5 Se12,2.19
Ge0.01 Te0.99 Pb0.99 S0.01,0.32
Tl2 Te3,0.2
Cd1 Te1,1.5
Li1 Nb1 O3,4.0
Li1 In1 Te2,1.46
Sb2 Pt1,0.1
As2 S3,2.78
Sb1 S1 I1,1.82
Ga1 N1,3.5
Te3 As2,1.64
Zr6 O1,0.18
K6 Ta1.03 Nb2.97 S25,2.01
Mg1 Cu2 Si1 S4,3.2
In1 As1,0.43
U1 P2 S9,1.41
Li1 In1 S2,3.56
Sn3 As2,0.47
In1 P1,1.5
Na1 As1 Se2,1.52
Zn0.6 Ga0.4 As0.4 Se0.6,1.8
Ga1 Sb0.35 As0.65,0.68
Ta1 Ga1 Se2,2.23
Mn11 Si19,1.0
Mg2 Sn1,0.22
Cd1 Se1,1.8
Na1 Sb1 Te2,0.47
Pb17 Cl18 O8,3.44
K1 P1 H2 O4,7.0
Hg3 P1 S3,1.98
Zn1 S1,3.69
Zn1 Cu2 Ge1 Se4,1.63
Tb2 Ge1 S5,2.1
C1 I4,2.26
Zr1 S3,2.17
Ag3 As1 Se3,2.24
K1 I1,6.31
Mg2 Sn1,0.19
Ce2 Te3,1.4
Cs2 La1.19 Bi8.81 S16,1.0
Cs2 Ta2 P2 Se12,2.29
Ta1 Tl3 S4,2.18
Rb2 Zn3 Se4 O12,4.9
In3 Cu1 Se5,0.6
Tl2 In1 Ga1 Te4,0.88
Ga0.95 Hg0.05 Sb0.95 Te0.05,0.69
Sr1 Zr1 S3,0.8
Cd4 P2 Br3,2.19
Ca3 Ti2 Si3 O12,1.65
Bi2 Mo2 Se2 O13,3.15
Zn1 Cu2 Si1 S4,3.2
Cu1 Bi1 S1 O1,1.07
Cd1 Ge1 As2,0.61
Al0.4 Ga0.6 P1,2.35
Sb2 Pt1,0.05
Cs1 Y1 Te3 O8,3.4
Cu3 Sb1 S4,1.0
Ba23 Ga8 Sb2 S38,2.84
Cd1 F2,6.0
Yb1 Nd2 Cu1 S5,1.35
Ba2 Hg1 S5,2.4
Ag1 Te1,0.85
Zn1 Se1,2.8
Ag3 As1 S3,2.24
Nb1 Cu1 O3,2.0
In5 Se6,0.14
Cd1 H1 I1 O4,4.35
Ga2 Cu1 S3.5,2.42
Sn0.03 Te1 Pb0.97,0.21
Ba3 Th1 Se7,1.96
Ag3 As1 S3,2.0
Y1 Zn1 Bi1 O4,1.58
U1 Hg3 Te2 Cl6,2.6
Ga4 Pb1 S7,3.08
Mo1 O3,3.54
Er1 Se2,1.07
Tl1 Cu1 Se2,1.07
K1 As1 Se2,1.63
Sm1 Cu1 S1 O1,2.9
Cs1 Y1 Zn1 Se3,2.41
Li1 B3 O5,7.78
Bi1 I3,2.03
In1 Sb0.7 As0.3,0.16
Bi0.2 Sb1.8 Te3,0.28
K2 Fe1 Ge3 Se8,1.95
Ga1 S1,2.84
Zn0.01 Cd0.99 Se1,2.5
K1 I1,6.25
Cu1 Br1,2.91
Bi2 Te0.6 Se2.4,0.28
Al1 P1,3.62
Bi2 Te0.03 Se2.97,0.27
Rb1 Cu4 As1 S4,2.15
Zn1 Ge1 P2,2.34
Y1 Sb1 Pd1,0.27
Ge1 Se1,1.08
Sn0.06 Pb0.94 Se1,0.22
Li1 Nb1 O3,3.9
Sb2 Te3,0.19
Cd1 Ge1 P2,1.65
K1 I1,6.28
Cd0.99 Hg0.01 Se1,0.29
Mn1 Sb2 O4,2.65
Ga1.8 Cu0.2 S2.8,2.7
Cs2 Ba3 P4 O14,6.31
Rb1 Li1 C1 O3,6.28
Sn1 Se1,0.88
P4 Os1,0.6
Sb2 Se3,1.2
Sn0.06 Pb0.94 Se1,0.14
Rb4 Ge3 B6 O17,5.42
Eu2 Se3,1.02
Zn1 Ge1 P2,2.2
Cd1 Ge1 As2,0.41
Ga1 Se1,2.02
As2 S3,2.35
Ge1 S1,1.65
Cs1 Br1,7.18
Cs3 Bi2 I9,1.9
Ga0.005 Te1 Pb0.995,0.37
Cd3 P2,0.6
In0.9 Ga0.1 As0.1 P0.9,1.32
As2 S3,2.74
Na3 Sb1,1.0
Ca2 Sn1 S4,2.32
Eu1 O1,1.12
Zr1 O2,4.99
Cs1 In1 Sn2 Se6,1.78
Tl1 Cl1,3.75
Rb1 Ge1 B3 O7,5.58
Al0.99 Cd0.01 Sb0.99 Te0.01,2.21
Cs1 Gd1 Zn1 Te3,2.13
Li1 Ga1 O2,5.6
Ag2 Ge1 Te3,0.07
K1 Ti1 P1 O5,3.8
As1 I3,2.29
As4 S4,2.4
Sb1 Te1 Rh1,0.5
Na1 Sb1 Se2,1.36
Ga1 N1,3.47
Tl1 Cr5 Se6 S2,0.75
K2 In3 Ag1 Se6,1.64
Ba1 F2,9.1
Zn1 Sn1 P2,2.1
Zn0.85 Ga0.15 As0.15 Se0.85,2.25
Cs1 Ga1 Sn1 Se4,1.97
Ca10 Ge16 B6 O51,5.47
Cd1 In1,0.6
Ba2 Gd1 In1 Te5,1.36
Rb3 Ta2 As1 S11,2.21
In2 Hg1 Te4,1.25
Fe1 Si2,0.95
Rb1 Sc1 Se2 O6,4.9
Ba1 In2 Se4,2.63
Ag2 O1,1.5
Ge1 S1,1.58
Ba1 F2,9.21
Tl1 Br1,2.65
Sr1 S1,4.8
As1 S1 I1,2.05
Ca1 Ta1 N1 O2,2.4
Sn0.001 Te1 Pb0.999,0.18
Na1 Sb1,0.82
Na1 As1 Se2,1.46
Ag1 As1 S2,2.14
K3 Bi2 I9,2.1
Er1 Te1,0.9
Li1 Cd1 B1 O3,4.28
Na2 Zn1 Sn2 S6,2.93
Ca2 Sn1,0.9
Ge1 S2,3.71
Zn1 Cu2 Si1 Se4,2.33
Sm2 Te3,0.7
K3 Ta2 As1 Se11,1.45
K4 Nb2 S11,2.42
Sn1 Ge1,0.4
Mg2 Sn1,0.3
Zn0.43 Cd0.57 Se1,2.8
La1 H2 N1 O5,4.76
Tl1 S2,1.8
Bi2 Te2.4 Se0.6,0.27
Sr3 Bi1 P3 O12,4.0
Zr1 Se2,2.0
Ba1 In2 P4 O14,3.97
La2 V1 Ni1 O6,0.45
Ti1 O2,3.3
Zn5.5 Ga1 Sn0.5 O8,2.99
K2 Ge2 Pb1 S6,2.85
Rb4 Ge1 P4 Se12,2.0
Cs1 Ta3 Se2 O12,3.88
Zn0.99 Hg0.01 Te1,2.3
Si0.98 Ge0.02,1.08
Cd4 As2 Br3,1.88
Bi1 Pb1 Cl1 O2,2.45
In1 Cu1 Se2,0.96
Cd1 Se1,1.67
Eu1 Bi2 Te4,0.44
La4 In1 Sb1 S9,2.07
Zn1 S1,3.78
Sb1 I3,2.12
Yb1 In3 S6,1.31
Ga1 As1,1.52
Ag8 Ge1 S6,1.18
Cs4 Ge1 P4 Se12,2.0
Ag1 N3,3.44
Sm1.82 Lu2.18 Se6,1.51
Si2 Te3,2.03
La1 Mg2 Pd1 H7,1.0
Si1 As1,1.57
Cs1 Er1 Zn1 Se3,2.56
Ga1 Sb1,0.7
Nb2 Pb2 Se4 O15,2.79
Rb1 Ag5 P2 S8,2.4
Ba2 Y1 In1 Te5,1.36
Li1 Zn1 N1,1.98
Al0.3 In0.7 P1,1.9
K1 Ta3 Te2 O12,4.06
K1 I1,6.2
Tl1 Se1,0.56
Zn3 Sb2,0.11
Lu1 In3 S6,1.27
Hg8 Bi3 As4 Cl13,2.43
Ag1 N3,3.9
Pb1 I2,2.53
Na2 Sn2 Hg3 S8,2.45
Tl1 Ag1 Te2,0.1
V3 Bi1 Pb3 O12,2.5
K2 Nd2 Ti3 O10,3.25
Sn0.01 Te1 Pb0.99,0.23
Zn3 As2,1.1
Na2 Hg3 Se1.49 S2.51,2.03
Ba1 Ge4 Ir2 S6,1.54
Ba3 Ge1 S5,3.0
Hg1 Se1,0.32
Eu1 Se1,3.1
Tl4 In3 Ga1 S8,2.63
Ca1 O1,7.09
Li2 B4 O7,7.3
K1 I1,6.17
K3 Cd1 B5 O10,3.47
K1 Sb1 S2,1.6
Rb1 Br1,7.2
Cd0.8 Hg0.2 Se1,0.45
Sn0.15 Pb0.85 Se1,0.14
Bi2 Te2 S1 O10,3.6
Zn0.94 Hg0.06 Te1,2.12
K1 Sm2 Cu1 S4,2.17
Mg1 O1,7.78
Sn1 Se0.75 S0.25,0.94
Rb9 Bi13 S24,1.3
La20 Mo12 Cl4 O63,2.4
Bi3 B1 Te1 O9,2.6
In1 Ag1 Se2,1.18
Li2 Hg1 Ge1 S4,2.46
In2 Se3,1.2
Fe1 As1 S1,0.4
Bi2 C1 O5,3.42
Si0.226 Ge0.774,1.5
Cd1 Cu2 Ge1 S4,2.05
Ba2 V4 Te3 O18,2.64
Cu1 P2,1.4
Sn0.001 Te1 Pb0.999,0.32
Tl1 In1 Se2,1.21
Mg2 Sn1,0.36
K2 Au1 I5 O15,2.65
Cu1 I1,3.1
Nb1 Sn1 Ir1,0.28
Sn0.15 Te1 Pb0.85,0.13
Cd1 In30 Te46,1.17
Co1 P1 S1,0.4
Cs1 La1 Hg1 Se3,2.51
La6 Sb4 S3 O12,2.6
Zn0.86 Hg0.14 Te1,1.73
As2 Se3,1.85
In1 P1,1.34
Tl1 P1 S2,1.7
Bi3 Se2 N1 O11,3.59
Sn0.35 Te0.35 Pb0.65 Se0.65,0.09
Fe1 Si2,0.88
Ga1 Sb0.8 As0.2,1.02
In2 Se3,1.25
Ni2 Te3 O8,3.84
Li1 Sb1 Te2,0.13
Sr4 V2 Se6 O21,2.66
Li1 Bi1 S2,0.18
Hg7.5 As4 Cl6,1.73
K1 P1 H2 O4,6.95
Rb1 Cd1 B3 O6,4.2
Rb3 Ag9 P4 S16,2.6
K1 Zn4 B3 O9,2.32
Al1 P1,3.0
Ca1 S1,5.4
In1 As1,0.42
Sr8 Ga16 Ge30,0.05
Bi1 S1 Br1,1.88
In2 B1 P3 O12,5.39
In1 Se1,1.34
Cs2 Pd1 Se8,1.5
Sb8 I2 O11,2.72
Zn0.99 Ga0.01 Sb0.01 Te0.99,2.1
Sc1 Sb1 Pd1,0.23
Bi2 Se3,0.35
Rb1 Cd4 Ga5 Te12,1.64
Ga1 Cu1 S2,2.4
In1 P1,1.42
Ba3 Nb2 Se9,1.3
Mn0.1 Te1 Pb0.9,0.49
As2 S3,2.23
Rb2 Ge1 B4 O9,5.54
In1 Sb0.1 As0.9,0.14
Cd1 Sn1 As2,0.3
Tl2 Te3 As2 Se1,0.67
Li1 Sm3 Si1 S7,2.83
Bi0.2 Te0.3 Pb0.9 Se0.9,0.25
Ga1 Sb1,0.81
Pt0.97 S2,0.95
Th1 Te1 O1,1.45
Cd1 Sb1,0.43
Zn1 O1,3.48
Cs1 In1 Sn1 S4,2.9
Cd1 Te1,1.61
Ga2 Pb1 S4,2.38
Te1 Pb1,0.22
Ge0.01 Te0.01 Pb0.99 Se0.99,0.23
Cs2 Zn1 Ge3 S8,3.33
Cu1 Cl1,3.22
Zn2 Mo1 Se1 O7,4.2
Sn0.99 Te1 Pb0.01,0.3
Ga2 Se3,2.3
Tb4 Al2 O9,4.59
Li2 Hg1 Ge1,0.93
Cs1 Au1,2.3
Al0.5 In0.5 P1,2.4
Pt1 S1,0.38
Ba2 Sm1 Ta1 O6,3.02
Ce1 Bi1 W2 O9,2.34
Bi9 S6 O7.5,1.27
Sb1 Te1 I1,1.28
Rb2 Cd3 B16 O28,4.76
K2 Ta15 O32,0.33
Cd1 Se1,1.87
Zn0.86 Hg0.14 Te1,1.66
Cd1 Sb1,0.54
Li2 Zn1 Sn1 S4,2.87
Yb2 Eu1 S4,1.6
Rb2 Nb1 Cu1 Se4,2.19
Zn1 Te1,2.18
Cs1 B3 O5,7.42
Sr1 Ti1 O3,3.15
Ge0.1 Te1 Pb0.9,0.35
Cu2 Se1,1.23
Eu1 Bi2 Se4,1.02
Rb3 Nb2 As1 Se11,1.5
K1 Ti2 F7,6.4
Tl1 Sb1 S2,1.92
Mn11 Si19,0.5
Tl1 Se1,0.7
Lu1 Cd4 B3 O10,3.7
V1 O2,0.12
Ga1.2 Cu0.8 Se2.2,1.58
Cd1 In2 Se4,1.72
Zn1 Bi38 O58,2.88
K1 I1,5.61
Na2 Si2 Hg3 S8,2.86
Ga1 S1,2.6
Rh1 Se1 S1,0.7
Sr1 Pr2 S4,2.7
Cs1 As1 Se2,1.86
Ga1 Sb0.14 As0.86,0.66
Pr1 Mo1 O4 F1,3.64
Si0.0645 Ge0.9355,1.04
As2 Pt1,0.5
Cs1 Y1 Cd1 Se3,2.54
Cd4 As2 I3,1.89
In1 Ag1 Se2,1.15
Al0.6 Ga0.4 As1,2.3
Sc2 S3,2.0
Zn0.85 Hg0.15 Se1,1.8
Cd1 In2 Te4,0.9
Hg1 O1,2.21
Zn0.01 Ga0.99 P0.99 S0.01,2.25
Sb2 S3,1.7
Tb2 Mo3 O12,1.6
Ga1 Se1,1.93
Ta1 Ga1 Se2,1.65
Hf1 Se2,2.2
Ag2 Ge1 Se3,0.91
Rb3 Bi2 I9,2.1
In1 Cu1 Te2,1.06
Al0.45 Cd0.55 Sb0.45 Te0.55,1.93
Al1 Sb1,1.65
Hg2 Cl2,2.84
Ba6 Ag4 Sn4 S16,2.37
Nd2 Te3,1.12
Ba2 Gd1 Ga1 Te5,1.12
Ta2 Mn3 O8,1.89
Sb2 Ru1,0.3
Cs3 Sb1,1.6
Li2 Ga1 Ge2 Se6,2.64
Ga1 Se1,1.98
Gd2 Se3,2.2
Rb2 Cu2 Sn2 S6,1.44
Li1 I1,5.62
Eu3 S4,1.7
Zn1 Se1,2.87
Rb1 Br1,7.7
Al1 P1,3.1
Ba1 Hg1 S2,1.93
Ba1 B2 O4,6.43
Li9 Ga13 Te21 O66,4.45
Bi1 Sb0.15,0.02
Cd0.8 In2.1 Ag0.1 Te4,0.29
In2 As2 Cl2 O5,4.62
Tl1 Cd1 S2,1.5
Cd3 As2,0.14
In1 Sb1,0.25
Eu2 O3,4.5
Tl1 In1 S2,2.3
Na2 Pt1 I6 O18,2.4
K6 Ta2.93 Nb1.07 S22,1.88
Sb1 Te1 Os1,0.05
Al1 Sb1,1.62
Sn1 S1,1.42
Ag2 O1,1.59
In1 N1,2.1
Y1 V1 Te1 O10,2.2
Bi1.4 Sb0.6 Te3,0.17
K1 P1 Pb1 O4,4.44
Si1 Se2,1.74
Na2 Zn3 Se4 O12,4.9
Te0.05 Pb1 Se0.95,0.26
In4 Te3,0.55
Cs1 Bi1 S2,1.4
Ba4 In1 Cu1 Se6,2.23
Sr1 Sn1 O3,4.1
V1 O2,0.5
Tl3 V1 S4,1.97
Cu1 Cl1,3.27
Na2 Be4 B4 O11,7.3
Ce2 S3,1.12
P2 Rh1,1.0
Zn0.01 Ga0.99 As0.99 Se0.01,1.39
Cd3 As2,0.64
Cu1 I1,2.8
Sb2 Se3,1.3
Ce2 Ge2 Se7,1.1
Zn1 As2,0.91
Na1 Bi1 S2,0.38
Zn1 O1,3.46
Zn0.75 Hg0.25 Te1,1.37
Te3 As2,1.75
Eu7 Ga6 Sb8,0.6
Zn1 S1,3.74
Sm1 Bi1 W2 O9,3.39
Cr1 Si2,1.3
Pb1 S1,0.41
Ga0.99 Hg0.01 Sb0.99 Te0.01,0.72
Y1 Sb1 Pt1,0.16
Zn1 Se1,2.71
Sb1 Os1 S1,1.2
Cd1 S1,2.44
Sb2 S3,1.92
K4 Ge1 P4 Se12,2.0
Ag1 Bi1 Se2,0.34
Cs1 In1 S2,3.4
In0.3 Ga0.7 As0.3 P0.7,2.05
Na1 As1 Se2,1.75
Tl1 Cl1,3.47
Cs2 Ag1 Bi1 Cl6,2.77
Cd1 Sn1 P2,1.5
