composition,output
Zn0.95 Ga0.05 P0.05 S0.95,1
Mg2 Sn1,1
Ga1.002 Sb0.998 Te0.006,1
Cs1 F1,1
K1 Sb1 Se2,1
Ag3 As1 Se3,1
As2 Se3,1
Li1 Ga1 Se2,1
Nb1 Se2,1
Cs1 Rb2 Sb1,1
Os1 S2,1
Ge1 S1,1
As2 Ru1,1
In1 Sb0.99 As0.01,1
Ga1.1 Sb0.9 Se0.3,1
Sm2 S3,1
Si1 P1,1
Yb1 B66,1
Sn0.1 Pb0.9 Se1,1
Ti1 Tl1 P1 S5,1
Cs1 Yb1 Mn1 Se3,1
K10 Fe4 Sn4 S17,1
Ge0.05 Te0.95 Pb0.95 S0.05,1
Ba1 Se1,1
K4 In4 P6 Se20,1
Sn0.06 Te1 Pb0.94,1
Bi2 Te0.45 Se2.55,1
K1 Nb3 Te2 O12,1
Cd4 P2 I3,1
Cr2 S3,1
In1 Se1,1
Sr0.5 Ta1 O3,1
Tb4 Ga1 Sb1 S9,1
Na3 Sb1,1
B12 P2,1
Dy2 Te3,1
Ti1 Tl1 S2,1
Bi2 S3,1
Ba2 Y1 Ga1 Te5,1
Sn0.01 Pb0.99 Se1,1
Tl2 In1 Ga1 Se4,1
Na1 La1 S3,1
Cs1 Ge5 B1 O12,1
Tl2.35 Sb8.65 Se14,1
Sn1 Se0.2 S0.8,1
Hg3 P1 S4,1
Zn2 In2 S5,1
Cs2 Zn1 Ge3 Te8,1
Eu1 Sb4 S7,1
Pb1 Se1,1
Na0.75 Eu1.625 Ge1 Se4,1
Pb1 I2,1
Zn1 Hg3 Se2 Cl4,1
Eu1 Bi1 W2 O9,1
Cs1 Sb1,1
Hg2 I2,1
Rb3 Cd1 B5 O10,1
Cd0.5 Hg0.5 Se1,1
Tl1 In1 Se2,1
Ta1 Ga1 Se2,1
Ir0.67 Se2,1
Bi2 Se3,1
La2 Ge2 Se7,1
Ge1 Bi12 O20,1
Ca1 Sn1 O3,1
Ba2 Sb7 H1 O14,1
Sr3 Eu1 P3 O12,1
Zn0.15 Cd0.85 Se1,1
Cs1 Lu1 Co1 S3,1
Bi1 S1 Br1,1
Co1 P2,1
Na1 Br1,1
Mn0.05 Te1 Pb0.95,1
Tl1 Br1,1
Ba6 Ga2 Sn1 Se11,1
La4 Cd4 In2 S13,1
Cs1 Ag2 As1 S3,1
Mn1 O2,1
Sb1 S1 I1,1
Cu1 Sb1 Se2,1
Ce2 Sn3 Se9,1
Ru1 Se2,1
Na2 Hg3 Ge2 S8,1
Zr1 Hg4 P2 Cl6,1
Cs3 Bi1,1
Rb1 Cd4 Ga5 S12,1
Ga1 Sb1,1
Cs4 Cu3 Bi9 S17,1
Te1 Se1,1
La1.86 Tb1.14 Ga1.67 S7,1
Zn1 Se1,1
Sr1 Pb1 O3,1
Na7 Co2 O6,1
Al0.01 In0.99 P1,1
Pb1 Se0.99 S0.01,1
Bi2 Te2 Se1,1
Nb1 Cu3 Se4,1
Ba4 Li1 Ga5 Se12,1
Ga1 Se1,1
Ag3 Sb1 S3,1
Al0.6 Ga0.4 P1,1
Tl2 Se1,1
Rb1 In1 Te3 O8,1
K2 Rb1 Sb1,1
Ga2 Te3,1
Cd1 In2 Te4,1
Pb1 O2,1
Fe1 Ag1 Te2,1
Tl1 Cl1,1
Li2 Te1 W1 O6,1
Nd2 Se3,1
K3 B6 Cl1 O10,1
Zr1 Se3,1
Rb5 B1 S4 O16,1
K1 Th1 Cu1 S3,1
In1 Sb0.3 As0.7,1
Cu3 As1 S4,1
Pr2 Te3,1
Eu3 Sb4 S9,1
Ba2 V2 Te2 O11,1
Na2 In2 Ge1 S6,1
In2 Hg1 Se4,1
V3 Cd4 Te3 O15,1
Al1 Ag1 S2,1
Rb2 Cu2 Sn1 S4,1
Ta1 Tl1 S3,1
Ga1 Cu1 Te2,1
Ga1.65 Cu0.35 S2.65,1
Cd1 Bi1 Cl1 O2,1
Ga2 S3,1
Si30 Te8 P16,1
Ga1.01 Sb0.99 Se0.03,1
Eu1 Ho2 Se4,1
Zn0.5 Hg0.5 Se1,1
Mg3 Sb2,1
Ta1 Ga1 S2,1
Sn0.99 Te1 Pb0.01,1
Sn0.2 Pb0.8 Se1,1
Sm1 Te1,1
Ce2 Ge1 Se5,1
Rb1 Bi1 Se2,1
Ga1 Sb0.95 As0.05,1
Cr1 Sb2,1
La2 Ge1 Se5,1
Sc1 Tl1 Te2,1
Sr2 Ti1 O4,1
Nb2 O5,1
In6 S7,1
Hf1 Hg4 P2 Cl6,1
Dy1 N1,1
Cs1 In1 Te3 O8,1
Ta11 Cu5 O30,1
Li1 B3 O5,1
La1 F3,1
Al1 N1,1
K2 Sb8 Se3,1
Ca1 S1,1
Cd1 Si1 As2,1
P2 Ir1,1
Ba3 Bi2 Te1 O9,1
Na1 N1 O2,1
Cs3 As1,1
In1 Cu1 S2,1
Sn1 S2,1
Sb1 I3,1
Rb1 I1,1
Pb1 Se0.5 S0.5,1
Mn2 P2 Se6,1
Na2 Cd1 Ge2 Se6,1
K1 Ag2 P1 S4,1
Ga1.5 Cu0.5 S2.5,1
P2 Se5,1
Ba1 Na2 Sn1 S4,1
Ga5 Ge1 Pb4 S12,1
Cs1 Ag5 Te3,1
Tl1 Te1 P1,1
Ge0.06 Te0.06 Pb0.94 Se0.94,1
Bi1 I3,1
Ba1 Zn1 Ge1 Se4,1
Si1 P2,1
Bi4 Pb7 Se13,1
Sr2 La2.58 Bi5.42 S14,1
Yb1 Sn1 Te2,1
Ba1 Pr1 O3,1
As2 S3,1
Dy2 O3,1
Ga1 Ag1 Ge5 Se12,1
La1 Be1 B3 O7,1
Ba2 Sm1 Ga1 Te5,1
Zn0.7 Ga0.3 P0.3 S0.7,1
Na2 Eu1 Ge1 Se4,1
Rb5 Li6 B11 O22,1
K9 Bi13 S24,1
Mn1 O1,1
K1 Ba1 B5 O9,1
Fe1 I2,1
La3 Lu1 Se6,1
Pr1 F3,1
Nd1 In3 S6,1
Na1 Sb1 Se2,1
Nd1 Mo1 O4 F1,1
Ge3 Ru2,1
Zn1 As1,1
Y1 V1 Bi2 O8,1
Li1 Ta1 O3,1
Cs1 Yb1 Co1 Se3,1
Ho2 Hf1 S5,1
Fe1 Si2,1
Rb1 In1 Sn1 S4,1
Ba2 Nd1 Ga1 S5,1
Zn0.01 Ga0.99 P0.99 Se0.01,1
Li1 Eu1 H3,1
In1 Ag1 Se2,1
Ga5 Ge1 Pb4 Se12,1
Ba2 Ta1 In1 O6,1
Ca6 Bi6 O15,1
Rb1 Cd4 Ga5 Se12,1
Ge0.01 Te0.99 Pb0.99 S0.01,1
Cd1 Te1,1
Li1 Nb1 O3,1
Li1 In1 Te2,1
Zr6 O1,1
K6 Ta1.03 Nb2.97 S25,1
Mg1 Cu2 Si1 S4,1
In1 As1,1
U1 P2 S9,1
Li1 In1 S2,1
Sn3 As2,1
In1 P1,1
Na1 As1 Se2,1
Zn0.6 Ga0.4 As0.4 Se0.6,1
Ga1 Sb0.35 As0.65,1
Na1 Sb1 Te2,1
Pb17 Cl18 O8,1
K1 P1 H2 O4,1
Hg3 P1 S3,1
Zn1 S1,1
Zn1 Cu2 Ge1 Se4,1
Tb2 Ge1 S5,1
C1 I4,1
Zr1 S3,1
K1 I1,1
Ce2 Te3,1
Cs2 La1.19 Bi8.81 S16,1
Cs2 Ta2 P2 Se12,1
Ta1 Tl3 S4,1
Rb2 Zn3 Se4 O12,1
In3 Cu1 Se5,1
Tl2 In1 Ga1 Te4,1
Ga0.95 Hg0.05 Sb0.95 Te0.05,1
Sr1 Zr1 S3,1
Cd4 P2 Br3,1
Ca3 Ti2 Si3 O12,1
Bi2 Mo2 Se2 O13,1
Zn1 Cu2 Si1 S4,1
Cu1 Bi1 S1 O1,1
Cd1 Ge1 As2,1
Al0.4 Ga0.6 P1,1
Cs1 Y1 Te3 O8,1
Ba23 Ga8 Sb2 S38,1
Cd1 F2,1
Yb1 Nd2 Cu1 S5,1
Ba2 Hg1 S5,1
Ag1 Te1,1
Ag3 As1 S3,1
Nb1 Cu1 O3,1
In5 Se6,1
Cd1 H1 I1 O4,1
Ga2 Cu1 S3.5,1
Ba3 Th1 Se7,1
Y1 Zn1 Bi1 O4,1
U1 Hg3 Te2 Cl6,1
Ga4 Pb1 S7,1
Mo1 O3,1
Er1 Se2,1
Tl1 Cu1 Se2,1
K1 As1 Se2,1
Sm1 Cu1 S1 O1,1
Cs1 Y1 Zn1 Se3,1
In1 Sb0.7 As0.3,1
Bi0.2 Sb1.8 Te3,1
K2 Fe1 Ge3 Se8,1
Zn0.01 Cd0.99 Se1,1
Bi2 Te0.6 Se2.4,1
Al1 P1,1
Bi2 Te0.03 Se2.97,1
Rb1 Cu4 As1 S4,1
Zn1 Ge1 P2,1
Y1 Sb1 Pd1,1
Sn0.06 Pb0.94 Se1,1
Sb2 Te3,1
Cd1 Ge1 P2,1
Cd0.99 Hg0.01 Se1,1
Mn1 Sb2 O4,1
Ga1.8 Cu0.2 S2.8,1
Cs2 Ba3 P4 O14,1
Rb1 Li1 C1 O3,1
P4 Os1,1
Sb2 Se3,1
Rb4 Ge3 B6 O17,1
Eu2 Se3,1
Cs1 Br1,1
Cs3 Bi2 I9,1
Ga0.005 Te1 Pb0.995,1
In0.9 Ga0.1 As0.1 P0.9,1
Ca2 Sn1 S4,1
Eu1 O1,1
Zr1 O2,1
Cs1 In1 Sn2 Se6,1
Rb1 Ge1 B3 O7,1
Al0.99 Cd0.01 Sb0.99 Te0.01,1
Cs1 Gd1 Zn1 Te3,1
Li1 Ga1 O2,1
Ag2 Ge1 Te3,1
K1 Ti1 P1 O5,1
As1 I3,1
As4 S4,1
Sb1 Te1 Rh1,1
Tl1 Cr5 Se6 S2,1
K2 In3 Ag1 Se6,1
Ba1 F2,1
Zn1 Sn1 P2,1
Zn0.85 Ga0.15 As0.15 Se0.85,1
Cs1 Ga1 Sn1 Se4,1
Ca10 Ge16 B6 O51,1
Cd1 In1,1
Ba2 Gd1 In1 Te5,1
Rb3 Ta2 As1 S11,1
In2 Hg1 Te4,1
Rb1 Sc1 Se2 O6,1
Ba1 In2 Se4,1
Ag2 O1,1
Sr1 S1,1
As1 S1 I1,1
Ca1 Ta1 N1 O2,1
Sn0.001 Te1 Pb0.999,1
Na1 Sb1,1
Ag1 As1 S2,1
K3 Bi2 I9,1
Er1 Te1,1
Li1 Cd1 B1 O3,1
Na2 Zn1 Sn2 S6,1
Ca2 Sn1,1
Ge1 S2,1
Zn1 Cu2 Si1 Se4,1
Sm2 Te3,1
K3 Ta2 As1 Se11,1
K4 Nb2 S11,1
Sn1 Ge1,1
Zn0.43 Cd0.57 Se1,1
La1 H2 N1 O5,1
Tl1 S2,1
Sr3 Bi1 P3 O12,1
Zr1 Se2,1
Ba1 In2 P4 O14,1
La2 V1 Ni1 O6,1
Ti1 O2,1
Zn5.5 Ga1 Sn0.5 O8,1
K2 Ge2 Pb1 S6,1
Rb4 Ge1 P4 Se12,1
Cs1 Ta3 Se2 O12,1
Zn0.99 Hg0.01 Te1,1
Si0.98 Ge0.02,1
Cd4 As2 Br3,1
Bi1 Pb1 Cl1 O2,1
In1 Cu1 Se2,1
Eu1 Bi2 Te4,1
La4 In1 Sb1 S9,1
Yb1 In3 S6,1
Ag8 Ge1 S6,1
Cs4 Ge1 P4 Se12,1
Ag1 N3,1
Sm1.82 Lu2.18 Se6,1
Si2 Te3,1
La1 Mg2 Pd1 H7,1
Si1 As1,1
Cs1 Er1 Zn1 Se3,1
Nb2 Pb2 Se4 O15,1
Rb1 Ag5 P2 S8,1
Ba2 Y1 In1 Te5,1
Li1 Zn1 N1,1
Al0.3 In0.7 P1,1
K1 Ta3 Te2 O12,1
Tl1 Se1,1
Zn3 Sb2,1
Lu1 In3 S6,1
Hg8 Bi3 As4 Cl13,1
Na2 Sn2 Hg3 S8,1
Tl1 Ag1 Te2,1
V3 Bi1 Pb3 O12,1
K2 Nd2 Ti3 O10,1
Sn0.01 Te1 Pb0.99,1
Zn3 As2,1
Na2 Hg3 Se1.49 S2.51,1
Ba1 Ge4 Ir2 S6,1
Ba3 Ge1 S5,1
Eu1 Se1,1
Tl4 In3 Ga1 S8,1
Li2 B4 O7,1
K3 Cd1 B5 O10,1
K1 Sb1 S2,1
Cd0.8 Hg0.2 Se1,1
Sn0.15 Pb0.85 Se1,1
Bi2 Te2 S1 O10,1
Zn0.94 Hg0.06 Te1,1
K1 Sm2 Cu1 S4,1
Mg1 O1,1
Sn1 Se0.75 S0.25,1
Rb9 Bi13 S24,1
La20 Mo12 Cl4 O63,1
Bi3 B1 Te1 O9,1
Li2 Hg1 Ge1 S4,1
In2 Se3,1
Fe1 As1 S1,1
Bi2 C1 O5,1
Si0.226 Ge0.774,1
Cd1 Cu2 Ge1 S4,1
Ba2 V4 Te3 O18,1
Cu1 P2,1
K2 Au1 I5 O15,1
Cu1 I1,1
Nb1 Sn1 Ir1,1
Sn0.15 Te1 Pb0.85,1
Cd1 In30 Te46,1
Co1 P1 S1,1
Cs1 La1 Hg1 Se3,1
La6 Sb4 S3 O12,1
Zn0.86 Hg0.14 Te1,1
Tl1 P1 S2,1
Bi3 Se2 N1 O11,1
Sn0.35 Te0.35 Pb0.65 Se0.65,1
Ga1 Sb0.8 As0.2,1
Ni2 Te3 O8,1
Li1 Sb1 Te2,1
Sr4 V2 Se6 O21,1
Li1 Bi1 S2,1
Hg7.5 As4 Cl6,1
Rb1 Cd1 B3 O6,1
Rb3 Ag9 P4 S16,1
K1 Zn4 B3 O9,1
Sr8 Ga16 Ge30,1
In2 B1 P3 O12,1
Cs2 Pd1 Se8,1
Sb8 I2 O11,1
Zn0.99 Ga0.01 Sb0.01 Te0.99,1
Sc1 Sb1 Pd1,1
Rb1 Cd4 Ga5 Te12,1
Ga1 Cu1 S2,1
Ba3 Nb2 Se9,1
Mn0.1 Te1 Pb0.9,1
Rb2 Ge1 B4 O9,1
In1 Sb0.1 As0.9,1
Cd1 Sn1 As2,1
Tl2 Te3 As2 Se1,1
Li1 Sm3 Si1 S7,1
Bi0.2 Te0.3 Pb0.9 Se0.9,1
Pt0.97 S2,1
Th1 Te1 O1,1
Cs1 In1 Sn1 S4,1
Ga2 Pb1 S4,1
Te1 Pb1,1
Ge0.01 Te0.01 Pb0.99 Se0.99,1
Cs2 Zn1 Ge3 S8,1
Zn2 Mo1 Se1 O7,1
Ga2 Se3,1
Tb4 Al2 O9,1
Li2 Hg1 Ge1,1
Cs1 Au1,1
Al0.5 In0.5 P1,1
Ba2 Sm1 Ta1 O6,1
Ce1 Bi1 W2 O9,1
Bi9 S6 O7.5,1
Sb1 Te1 I1,1
Rb2 Cd3 B16 O28,1
K2 Ta15 O32,1
Li2 Zn1 Sn1 S4,1
Yb2 Eu1 S4,1
Rb2 Nb1 Cu1 Se4,1
Zn1 Te1,1
Cs1 B3 O5,1
Sr1 Ti1 O3,1
Ge0.1 Te1 Pb0.9,1
Cu2 Se1,1
Eu1 Bi2 Se4,1
Rb3 Nb2 As1 Se11,1
K1 Ti2 F7,1
Tl1 Sb1 S2,1
Lu1 Cd4 B3 O10,1
V1 O2,1
Ga1.2 Cu0.8 Se2.2,1
Cd1 In2 Se4,1
Zn1 Bi38 O58,1
Na2 Si2 Hg3 S8,1
Rh1 Se1 S1,1
Sr1 Pr2 S4,1
Cs1 As1 Se2,1
Ga1 Sb0.14 As0.86,1
Pr1 Mo1 O4 F1,1
Si0.0645 Ge0.9355,1
Cs1 Y1 Cd1 Se3,1
Cd4 As2 I3,1
Al0.6 Ga0.4 As1,1
Sc2 S3,1
Zn0.85 Hg0.15 Se1,1
Hg1 O1,1
Zn0.01 Ga0.99 P0.99 S0.01,1
Sb2 S3,1
Tb2 Mo3 O12,1
Hf1 Se2,1
Ag2 Ge1 Se3,1
Rb3 Bi2 I9,1
In1 Cu1 Te2,1
Al0.45 Cd0.55 Sb0.45 Te0.55,1
Hg2 Cl2,1
Ba6 Ag4 Sn4 S16,1
Nd2 Te3,1
Ba2 Gd1 Ga1 Te5,1
Ta2 Mn3 O8,1
Sb2 Ru1,1
Cs3 Sb1,1
Li2 Ga1 Ge2 Se6,1
Gd2 Se3,1
Rb2 Cu2 Sn2 S6,1
Li1 I1,1
Eu3 S4,1
Ba1 Hg1 S2,1
Ba1 B2 O4,1
Li9 Ga13 Te21 O66,1
Bi1 Sb0.15,1
Cd0.8 In2.1 Ag0.1 Te4,1
In2 As2 Cl2 O5,1
Tl1 Cd1 S2,1
Eu2 O3,1
Tl1 In1 S2,1
Na2 Pt1 I6 O18,1
K6 Ta2.93 Nb1.07 S22,1
Sb1 Te1 Os1,1
Sn1 S1,1
In1 N1,1
Y1 V1 Te1 O10,1
Bi1.4 Sb0.6 Te3,1
K1 P1 Pb1 O4,1
Si1 Se2,1
Na2 Zn3 Se4 O12,1
Te0.05 Pb1 Se0.95,1
In4 Te3,1
Cs1 Bi1 S2,1
Ba4 In1 Cu1 Se6,1
Sr1 Sn1 O3,1
Tl3 V1 S4,1
Na2 Be4 B4 O11,1
Ce2 S3,1
P2 Rh1,1
Zn0.01 Ga0.99 As0.99 Se0.01,1
Ce2 Ge2 Se7,1
Zn1 As2,1
Na1 Bi1 S2,1
Zn0.75 Hg0.25 Te1,1
Eu7 Ga6 Sb8,1
Sm1 Bi1 W2 O9,1
Cr1 Si2,1
Pb1 S1,1
Ga0.99 Hg0.01 Sb0.99 Te0.01,1
Y1 Sb1 Pt1,1
Sb1 Os1 S1,1
K4 Ge1 P4 Se12,1
Ag1 Bi1 Se2,1
Cs1 In1 S2,1
In0.3 Ga0.7 As0.3 P0.7,1
Cs2 Ag1 Bi1 Cl6,1
Cd1 Sn1 P2,1
Ba2 Ga1 Bi1 Te5,1
Ca3 B2 N4,1
Ba1 U1 Se3,1
Sm1 In3 S6,1
Cu0.5 Ge1 Pb1.75 S4,1
As1 P1,1
Fe1 As1 Se1,1
Sb2 O3,1
K1 In1 Ge1 S4,1
Ba2 Sn1 Se5,1
Mn15 Si26,1
Cd0.1 Hg0.9 Se1,1
Ho1 N1,1
Ga1.8 Cu0.2 Se2.8,1
Rb2 Cd1 P2 Se6,1
Sn0.08 Te0.08 Pb0.92 Se0.92,1
Cs2 Cd1.35 Hg4.65 S7,1
Ti1 Se2,1
In0.7 Ga0.3 As0.3 P0.7,1
Sn1 I2,1
Bi2 Te1.5 Se1.5,1
Ge0.15 Pb0.85 Se0.85 S0.15,1
Na1 I1,1
P2 Os1,1
Cd1 Si1 P2,1
Na2 In4 Se6 S1,1
Al1 Cu1 Se2,1
Yb1 Cu3 S3,1
Rb1 Sb1 Te2,1
Bi1 P3 Pb3 O12,1
Ce8 Sb2 S15,1
Ba2 Ca2 B4 O10,1
Zn1 Sb1,1
K2 V1 Ag1 S4,1
Ba1 Cu1 Sb1 Se3,1
Ga1 H1 Se1 O4,1
Zn0.25 Ga0.75 As0.75 Se0.25,1
Ge1 Se2,1
Ga1.6 Cu0.4 S2.6,1
Cs3 Nb9 Te4 O32,1
Cd5 Ga2 Te6 S2,1
Ag1 Sb1 S2,1
In0.01 Ga0.99 As0.99 P0.01,1
Cu1 Bi1 Se1 O1,1
Cu4 Sn7 S16,1
Ce1.3 Lu0.7 S3,1
Li1 Ga1 S2,1
Ba6 Ag2.7 Sn4.3 S16,1
Yb1 Sm2 Cu1 S5,1
K2 Hg3 Ge2 S8,1
Cs1 Sc1 Se2 O6,1
La2 Hf1 S5,1
Ba2 B4 H2 O9,1
Cd1 Ga2 Se4,1
Sn1 Se0.99 S0.01,1
Zr1 C1,1
Sr2 Sc1 Sb1 O6,1
Cd1 Ga2 S4,1
Hg1 Te1,1
La3 Mo4 O16 F1,1
Tl1 N3,1
Cs4 Th2 P6 S18,1
Mg2 Si1,1
Cs1 Sb1 Te2,1
In0.4 Ga0.6 As1,1
Cd0.01 In0.99 Te0.01 As0.99,1
In0.5 Ga0.5 As1,1
Rb1 Bi3 Se5,1
Tb1 In3 S6,1
Co1 Pb1 O3,1
Rb1 H2 I3 O9,1
Eu1 N1,1
Al1 Cu1 Te2,1
Bi2 Te0.3 Se2.7,1
La2 Se3,1
Na2 Ti3 O7,1
In0.005 Te1 Pb0.995,1
In0.9 Ga0.1 As0.9 P0.1,1
Rb1 Ca1 B1 O3,1
Ga1.5 Cu0.5 Se2.5,1
K1 Ga1 Se2,1
K1 I1 O3,1
Zn0.1 Ga0.9 Sb0.9 Te0.1,1
Te2 Pd1,1
Zn3 B2 O6,1
Ga1 Cu1 Se2,1
Rb1 Nb3 Te2 O12,1
Tl2 S1,1
Cd1 As2,1
Ga1 Tc1,1
Cd1 In2 S4,1
Sn0.23 Te1 Pb0.77,1
K2 Se1,1
In6 Se7,1
Ga1 As0.8 P0.2,1
Bi24 B1 O39,1
Mg1 Cu2 Ge1 S4,1
Ba1 Ga2 Ge1 S6,1
K10 Co4 Sn4 S17,1
K2.15 Sb8.15 Pb1.7 Se15,1
Cd1 Hg6.5 As4 Cl6,1
Tl1 Cr5 Se3 S5,1
Ag1 Sb1 Te2,1
Na1 In1 Te2 O6,1
Te1 Pb3 Cl4 O3,1
Na0.5 Ge1 Pb1.75 S4,1
Li1 As1 S2,1
Cs4 Ag9 Sb4 S12,1
Ga3 Cu1 Se5,1
P2 Ru1,1
Ga1 Ag1 S2,1
Ca1 I2,1
Ga1 As0.99 P0.01,1
Nd2 O3,1
Ge1 O2,1
Cd0.23 Hg0.77 Te1,1
Rb1 P1 Pb1 O4,1
Li2 Te1 Mo1 O6,1
In3 Cu1 Te5,1
Li1 Gd5 P2 O13,1
Li2 Si1 Hg1 S4,1
Tb2 Eu1 Se4,1
K1 Cu2 Bi1 S3,1
Zn1 In2 Se4,1
In2 Bi3 Se7 I1,1
Sb1 S1 Br1,1
In0.01 Te1 Pb0.99,1
K2 Mn1 Sn1 Se4,1
Ir1 Se2,1
V1 Fe1 Sb1,1
La1 Ga1 S3,1
Cs1 Bi2,1
Sn1 Pb1 S3,1
Ca1 Te1,1
Rb1 Nb1 Se2 O7,1
Cd1 Se0.45 S0.55,1
K2 S1,1
Zn0.99 Hg0.01 Se1,1
Tl4 Cd1 I6,1
In1.9 Cu0.1 Se2.9,1
Hg1 Br2,1
Ga1.1 Sb0.9 Te0.3,1
Cd3 Sb2,1
Cs1 Tm9 Cd4 Se18,1
Bi2 Te0.4 Se2.6,1
Eu1 Te1,1
Na1 Y1 Te4 O10,1
K2 La2 Ti3 O10,1
Ge0.01 Pb0.99 Se1,1
Tl1 In1 Te2,1
Ge0.1 Pb0.9 Se0.9 S0.1,1
K2 Mo2 Se2 O11,1
Pb1 Br2,1
As2 S5,1
La1 Cu1 Se1 O1,1
Na1 H3 Se2 O6,1
Ir1 Se1 S1,1
Zn1 Cu2 Si1 Te4,1
As2 Os1,1
Cd1 Te1 O3,1
U1 Hg4 As2 Cl6,1
Rh1 S3,1
Nb2 Ag1 P1 S10,1
Sm3 B1 S3 O3,1
Gd1 Sc1 S3,1
Eu1 In2 Se4,1
Cs2 Ag1 Bi1 Br6,1
Li1 Ga1 Te2,1
Sb2 Os1,1
Ce1 Ta1 N2 O1,1
Ce4 In1 Sb1 Se9,1
Y1 N1,1
Tb1 W1 Cl1 O4,1
Li1 As1 Se2,1
Rb1 Cl1,1
Co1 Sb2,1
Sn1 Se0.01 S0.99,1
Ba1 Pd1 I4 O12,1
Fe2 O3,1
Zn0.8 Hg0.2 Te1,1
Si0.12 Ge0.88,1
Na1 Sb1 P2 S6,1
K2 Ge3 B2 O10,1
Pr2 Ge1 Se5,1
Rb2 V1 Cu1 S4,1
Rb4 Mo5 P2 O22,1
K2 V1 Cu1 S4,1
Tb1 Cu3 Se3,1
Sm2 Se3,1
In1 Ag1 S2,1
V2 Bi2 Se4 O16,1
Mg2 Ge1 Se4,1
In0.99 Ga0.01 As0.01 P0.99,1
Ga1 Sb0.99 As0.01,1
Bi1 Br3,1
Al0.01 Ga0.99 P1,1
Re1 Se2,1
Eu1 S1,1
B1 Pb2 Cl1 O3,1
In0.04 Te1 Pb0.96,1
Cs1 In1 Se2,1
In0.6 Ga0.4 As0.6 P0.4,1
Zn0.5 Ga0.5 As0.5 Se0.5,1
Cs1 Na2 Sb1,1
Zn1 In2 Te4,1
P1 Os1 S1,1
In0.4 Ga1.6 Cu1 S3.5,1
Sm1 Cu3 S3,1
Zn1 Ge1 As2,1
In1 Sb0.01 As0.99,1
Gd2 Mo3 O12,1
Ba2 In1 Bi1 S5,1
Fe1 Bi1 Se3 O9,1
